REPORTED GENE(S)	CHR_ID	CHR_POS	SNPS	P-VALUE	PUBMEDID	INITIAL SAMPLE SIZE
MMEL1	1	2569899	rs10797432	1.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TNFRSF14	1	2569899	rs10797432	1.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MMEL1	1	2569899	rs10797432	3.00E-12	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
PLCH2	1	2569899	rs10797432	3.00E-12	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
TNFRSF14	1	2569899	rs10797432	3.00E-12	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
MMEL1	1	2581777	rs734999	3.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
PLCH2	1	2581777	rs734999	3.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
C1orf93	1	2581777	rs734999	3.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
TNFRSF14	1	2581777	rs734999	3.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
PARK7	1	7961913	rs35675666	5.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
TNFRSF9	1	7961913	rs35675666	5.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
ERFFI1	1	7961913	rs35675666	5.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
UTS2	1	7961913	rs35675666	5.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
VAMP3	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
UTS2	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PARK7	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ERRFI1	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PER3	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TNFRSF9	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CAMTA1	1	7962137	rs3766606	4.00E-09	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RNF186	1	19813543	rs1317209	2.00E-10	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
OTUD3	1	19813543	rs1317209	2.00E-10	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
PLA2G2E	1	19813543	rs1317209	2.00E-10	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
RNF186	1	19816373	rs3806308	7.00E-09	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
RNF186	1	19816373	rs3806308	3.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
OTUD3	1	19816373	rs3806308	3.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
PLA2G2E	1	19816373	rs3806308	3.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
RNF186	1	19845367	rs6426833	3.00E-42	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
OTUD3	1	19845367	rs6426833	3.00E-42	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
OTUD3	1	19845367	rs6426833	5.00E-13	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
PLA2G2E	1	19845367	rs6426833	5.00E-13	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
RNF186	1	19845367	rs6426833	2.00E-21	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
OTUD3	1	19845367	rs6426833	2.00E-21	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
PLA2G2E	1	19845367	rs6426833	2.00E-21	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
OTUD3	1	19845367	rs6426833	2.00E-11	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
PLA2G2E	1	19845367	rs6426833	2.00E-11	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
RNF186	1	19874497	rs4654903	7.00E-09	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
OTUD3	1	19874497	rs4654903	7.00E-09	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
PLA2G2E	1	19874497	rs4654903	7.00E-09	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
OTUD3	1	19901230	rs4654925	9.00E-22	20228798	1,043 European ancestry cases, 1,703 European ancestry controls
Intergenic	1	22375738	rs12568930	2.00E-15	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL23R	1	67182913	rs76418789	1.00E-08	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
IL23R	1	67228519	rs2201841	1.00E-13	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
IL23R	1	67240275	rs11209026	1.00E-08	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
IL23R	1	67240275	rs11209026	3.00E-10	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
IL23R	1	67240275	rs11209026	5.00E-28	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
INSL5	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MIER1	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL12RB2	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TCTEX1D1	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
WDR78	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC35D1	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C1orf141	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL23R	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SERBP1	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SGIP1	1	67242007	rs11581607	4.00E-41	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL23R	1	67259437	rs10889677	1.00E-08	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
Intergenic	1	70529879	rs2651244	1.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC30A	1	101000498	rs11583043	6.00E-08	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
EDG1	1	101000498	rs11583043	6.00E-08	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
RORC	1	151829204	rs4845604	2.00E-11	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR2A	1	161502368	rs10800309	3.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
FCGR2C	1	161502368	rs10800309	3.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
FCGR2A	1	161509955	rs1801274	2.00E-12	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
HSPA6	1	161509955	rs1801274	2.00E-18	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR3A	1	161509955	rs1801274	2.00E-18	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR3B	1	161509955	rs1801274	2.00E-18	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR2B	1	161509955	rs1801274	2.00E-18	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR2A	1	161509955	rs1801274	2.00E-18	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FCGR2A	1	161509955	rs1801274	2.00E-20	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
FCGR2B	1	161509955	rs1801274	2.00E-20	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HSPA6	1	161509955	rs1801274	2.00E-20	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
PTPRC	1	198687278	rs2359952	4.00E-07	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
NR5A2	1	200132792	rs2816958	2.00E-13	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C1orf106	1	200908434	rs7554511	4.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
KIF21B	1	200908434	rs7554511	4.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CACNA1S	1	200908434	rs7554511	4.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
KIF21B	1	200908434	rs7554511	5.00E-06	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
KIF21B	1	200908434	rs7554511	1.00E-06	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
C1orf106	1	200908434	rs7554511	2.00E-13	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
KIF21B	1	200966738	rs11584383	2.00E-07	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
C1orf81	1	200966738	rs11584383	2.00E-07	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
CACNA1S	1	200966738	rs11584383	2.00E-07	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
IL10	1	206766559	rs3024505	2.00E-23	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL10	1	206766559	rs3024505	1.00E-12	18836448	1,167 European ancestry cases, 777 European ancestry controls
IL19	1	206766559	rs3024505	1.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
IL10	1	206766559	rs3024505	1.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
IL10	1	206766559	rs3024505	6.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL19	1	206766559	rs3024505	6.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL10	1	206770623	rs3024493	1.00E-12	20228798	1,043 European ancestry cases, 1,703 European ancestry controls
IL10	1	206770623	rs3024493	8.00E-08	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
IL10	1	206786871	rs880790	4.00E-06	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
IL19	1	206786871	rs880790	4.00E-06	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
MYTL	2	2402716	rs11679592	9.00E-06	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
PUS10	2	60959694	rs13003464	7.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
REL	2	60959694	rs13003464	7.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
CCDC139	2	60959694	rs13003464	7.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
PUS10	2	60977721	rs7608910	4.00E-23	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PUS10	2	60977721	rs7608910	2.00E-14	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL1R2	2	102047167	rs2310173	3.00E-12	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
GPD2	2	156742166	rs8179646	6.00E-06	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
ITGA4	2	181443625	rs6740847	1.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RFTN2	2	198016944	rs1016883	3.00E-08	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
PLCL1	2	198016944	rs1016883	3.00E-08	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
SATB2	2	199425636	rs1992950	5.00E-06	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
ICOS	2	203727298	rs3116494	1.00E-07	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CD28	2	203727298	rs3116494	1.00E-07	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CTLA4	2	203727298	rs3116494	1.00E-07	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
IL8RA	2	218145423	rs11676348	1.00E-10	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
SLC11A1	2	218145423	rs11676348	1.00E-10	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL8RB	2	218145423	rs11676348	1.00E-10	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
AAMP	2	218145423	rs11676348	1.00E-10	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
ARPC	2	218145423	rs11676348	1.00E-10	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
CCL20	2	227795396	rs7556897	3.00E-08	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
GPR35	2	240634984	rs4676408	1.00E-17	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GPR35	2	240639691	rs4676406	8.00E-11	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HDAC11	3	13451731	rs2655211	7.00E-06	26278503	361 African American cases, 1,797 African American controls
CCR1	3	46415921	rs113010081	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCRL2	3	46415921	rs113010081	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCR5	3	46415921	rs113010081	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCR3	3	46415921	rs113010081	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCR2	3	46415921	rs113010081	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FLJ78302	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
LTF	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CCR1	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CCR2	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CCR3	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
CCR5	3	46415921	rs113010081	9.00E-10	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
MST1	3	49664550	rs9858542	7.00E-09	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
UBA7	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
MST1	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
APEH	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
AMIGO3	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
GMPPB	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
BSN	3	49682296	rs9822268	2.00E-17	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
PFKFB4	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
MST1R	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
UCN2	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
GPX1	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
IP6K2	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
BSN	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
IP6K1	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
USP4	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
MST1	3	49684099	rs3197999	8.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
MST1	3	49684099	rs3197999	4.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
TMA7	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TREX1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
UCN2	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TMEM89	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC26A6	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
WDR6	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NDUFAF3	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IMPDH2	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
KLHDC8B	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RP11-3B7.1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C3orf62	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GPX1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TCTA	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AMT	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
APEH	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PLXNB1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCDC51	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SHISA5	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PFKFB4	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
UQCRC1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CELSR3	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NCKIPSD	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PRKAR2A	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC25A20	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ARIH2OS	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
P4HTM	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DALRD3	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
QRICH1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
QARS	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LAMB2	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCDC71	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C3orf84	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
USP4	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NICN1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MST1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RNF123	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ATRIP	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
COL7A1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IP6K2	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ARIH2	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
USP19	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RHOA	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DAG1	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
BSN	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCDC36	3	49684099	rs3197999	8.00E-20	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PRKCD	3	53028645	rs9847710	1.00E-08	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
ITIH4	3	53028645	rs9847710	1.00E-08	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
NFKBIZ	3	101850882	rs616597	9.00E-06	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
NFKB1	4	102589957	rs3774959	4.00E-12	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
MANBA	4	102589957	rs3774959	4.00E-12	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
Intergenic	4	116929300	rs979961	8.00E-07	28008999	269 Polish ancestry child cases, 259 Polish ancestry adult cases, 582 Polish ancestry controls
IL2	4	122408207	rs17388568	9.00E-07	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
ADAD1	4	122408207	rs17388568	9.00E-07	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL21	4	122408207	rs17388568	9.00E-07	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
AC026740.1	5	583327	rs4957048	2.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TPPP	5	583327	rs4957048	2.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC9A3	5	583327	rs4957048	2.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CEP72	5	583327	rs4957048	2.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CEP72	5	583327	rs4957048	1.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
TPPP	5	583327	rs4957048	1.00E-09	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
SLC9A3	5	593968	rs11739663	2.00E-08	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
EXOC3	5	593968	rs11739663	3.00E-08	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
DAP	5	10752203	rs267939	6.00E-12	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL7R	5	35876172	rs3194051	4.00E-08	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
OSMR	5	38867630	rs395157	4.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
OSMR	5	38867630	rs395157	9.00E-12	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
FYB	5	38867630	rs395157	9.00E-12	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
LIFR	5	38867630	rs395157	9.00E-12	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
Intergenic	5	40410482	rs11742570	3.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PTGER4	5	40410833	rs6451493	3.00E-09	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IL3	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CSF2	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HINT1	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LYRM7	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC22A4	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C5orf56	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IRF1	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CDC42SE2	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
