Gene	Padj	logFC	SNP	File	isAsian
HLA-DRA	0.0161261213790918	0.543080855048717	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.PLA3.csv	1
HLA-DRA	0.00280237681175677	0.831789704365661	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.DCLKT.csv	1
HLA-DRA	0.000133960523415219	0.519193160574281	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.PLA2.csv	1
HLA-DQB1	6.41195175462003e-05	0.905615843806795	rs2395185,rs6927022,rs6927022,rs1063355	UCvHC.DCLKT.csv	1
HLA-DQB1	4.72095769718859e-13	0.415511494536158	rs2395185,rs6927022,rs6927022,rs1063355	UCvHC.GOB.csv	1
HLA-DQB1	4.19266251296555e-06	0.458695457783612	rs2395185,rs6927022,rs6927022,rs1063355	UCvSC.GOB.csv	1
HLA-DQB1	3.29505954011145e-16	0.602392055069529	rs2395185,rs6927022,rs6927022,rs1063355	UCvSC.LGRS.csv	1
HLA-DQB1	3.09223955062908e-10	0.607486067195777	rs2395185,rs6927022,rs6927022,rs1063355	UCvHC.LGRS.csv	1
HLA-DQB1	2.03164990739169e-12	1.22311408149067	rs2395185,rs6927022,rs6927022,rs1063355	UCvSC.MemB.csv	1
HLA-DQB1	1.46505162268112e-20	0.311283029593851	rs2395185,rs6927022,rs6927022,rs1063355	UCvSC.NaiB.csv	1
HLA-DQB1	0.00041278109053725	-0.616307781790175	rs2395185,rs6927022,rs6927022,rs1063355	UCvSC.MKIP.csv	1
HLA-DQB1	0.000412530444235489	-0.330204164310123	rs2395185,rs6927022,rs6927022,rs1063355	UCvHC.MDC.csv	1
HLA-DQA1	4.18661166182208e-08	0.751831565134086	rs9268853,rs2395185,rs9271366,rs9271366,rs2187668,rs6927022,rs6927022,rs1063355	UCvSC.MemB.csv	1
HLA-DQA1	0.00406126986397054	0.884241044494417	rs9268853,rs2395185,rs9271366,rs9271366,rs2187668,rs6927022,rs6927022,rs1063355	UCvHC.DCLKT.csv	1
CFB	8.5277207529622e-10	0.345887501427322	rs4151657,rs6927022	UCvSC.DCLKP.csv	1
CFB	7.02551580330709e-07	0.325278531908448	rs4151657,rs6927022	UCvSC.ENT.csv	1
CFB	5.90261878994685e-20	0.509675365108703	rs4151657,rs6927022	UCvHC.GOB.csv	1
CFB	5.4555714800148e-08	0.352784522407823	rs4151657,rs6927022	UCvHC.ENT.csv	1
CFB	4.07235814834206e-10	0.450052717593321	rs4151657,rs6927022	UCvSC.GOB.csv	1
CFB	2.84864467620457e-21	0.406216834356386	rs4151657,rs6927022	UCvHC.DCLKP.csv	1
CFB	0.000120380726528467	0.409135292735555	rs4151657,rs6927022	UCvSC.LGRS.csv	1
